eps1	q	p	epsv
0	0	100	0
0.009869145	7.523596453	103.7617982	0.012636773
0.030032882	16.85569387	108.4278469	0.033230033
0.060115831	28.77573987	114.3878699	0.062247809
0.103415552	39.79432217	119.8971611	0.092201642
0.151055109	49.44011687	124.7200584	0.121219417
0.185675159	58.22145976	129.1107299	0.149769164
0.229566676	66.46907859	133.2345393	0.178318911
0.275825376	74.02698452	137.0134923	0.204060486
0.318434669	81.16930755	140.5846538	0.229802061
0.368046878	87.94302739	143.9715137	0.255543636
0.416574128	94.34274233	147.1713712	0.278477039
0.45504085	100.4545611	150.2272806	0.301878471
0.504258529	106.1082701	153.0541351	0.323407789
0.544599271	111.6120054	155.8060027	0.344937106
0.583953687	117.0025088	158.5012544	0.365062337
0.63484812	121.9244799	160.96224	0.38471954
0.678147841	126.7867214	163.3933607	0.402972657
0.726675092	131.3453816	165.6726908	0.421693803
0.773426954	135.678841	167.8394205	0.437606776
0.818699328	140.0419044	170.0209522	0.455391865
0.860420927	144.3483823	172.1741912	0.470368781
0.903720648	148.3195777	174.1597889	0.485813726
0.956489101	152.1161447	176.0580724	0.500322614
0.994462661	155.8778392	177.9389196	0.514831502
1.034408873	159.4782482	179.7391241	0.529340389
1.078300389	162.9010001	181.4505001	0.541509134
1.136592269	165.9489921	182.9744961	0.554145907
1.178905664	169.0473632	184.5236816	0.565846623
1.229602832	172.0181893	186.0090947	0.57707931
1.270634002	175.2231207	187.6115604	0.587843969
1.315807743	178.0699509	189.0349755	0.598608628
1.364729524	180.7602886	190.3801443	0.608905258
1.416906181	183.3873922	191.6936961	0.619201888
1.460797698	185.8868719	192.943436	0.627626403
1.508831785	188.2134754	194.1067377	0.636986976
1.552328771	190.7108681	195.3554341	0.64587952
1.591485922	193.2314487	196.6157244	0.653836007
1.632319828	195.7003701	197.8501851	0.661324465
1.677493569	197.9310841	198.9655421	0.669280952
1.725626288	199.7763338	199.8881669	0.675833353
1.770602764	201.8996355	200.9498178	0.681917725
1.820609503	204.0756339	202.037817	0.688470126
1.864994183	205.876938	202.938469	0.694554498
1.900896458	207.9757461	203.9878731	0.699702813
1.94685926	209.6247512	204.8123756	0.705787186
1.994696081	211.5206871	205.7603436	0.710467472
2.040757516	213.0003545	206.5001773	0.715615787
2.089777929	214.7709188	207.3854594	0.719828045
2.130710467	216.7135396	208.3567698	0.724508331
2.177758228	218.3020236	209.1510118	0.72825256
2.220959317	219.9148245	209.9574123	0.731528761
2.267908445	221.5744075	210.7872038	0.735741019
2.311799961	223.1998985	211.5999493	0.73854919
2.353817458	224.5031226	212.2515613	0.742293419
2.400667954	225.9998536	212.9999268	0.744633563
2.451069224	227.6887827	213.8443914	0.747909763
2.492100395	229.1961272	214.5980636	0.750249906
2.533624729	230.4298833	215.2149417	0.753058078
2.582053346	231.9422	215.9711	0.754462164
2.631369657	233.2002775	216.6001388	0.757270336
2.67437348	234.4247259	217.212363	0.75914245
2.718067732	235.7177316	217.8588658	0.760546536
2.761761984	237.1634402	218.5817201	0.761950622
2.803878113	238.2960363	219.1480182	0.763822737
2.850827241	239.5932304	219.7966152	0.764290765
2.894225595	240.6582876	220.3291438	0.766630909
2.943048743	241.6579544	220.8289772	0.766630909
2.985756668	243.0241027	221.5120514	0.766630909
3.027675533	244.149443	222.0747215	0.767566966
3.07196158	245.1131584	222.5565792	0.768034995
3.13252201	246.1055663	223.0527832	0.768034995
3.175427201	247.2858642	223.6429321	0.768034995
3.219220085	248.3726201	224.1863101	0.768034995
3.266465111	249.6385496	224.8192748	0.768034995
3.309370301	250.7949729	225.3974865	0.767098937
3.360264735	251.5346626	225.7673313	0.766630909
3.404057619	252.5606226	226.2803113	0.765694851
3.448738197	253.4147694	226.7073847	0.765694851
3.502197078	253.9920978	226.9960489	0.765226823
3.543425514	255.2014675	227.6007338	0.764290765
3.585541643	256.1212528	228.0606264	0.763822737
3.634068893	257.0307888	228.5153944	0.76288668
3.686442816	257.7292312	228.8646156	0.761014565
3.731222026	258.6915757	229.3457879	0.760078508
3.778072522	259.4514251	229.7257126	0.759610479
3.82502165	260.4661416	230.2330708	0.757738365
3.876113348	261.1487038	230.5743519	0.756802307
3.917045886	262.0292738	231.0146369	0.756334279
3.96872938	262.7941319	231.397066	0.753994135
4.023865016	263.5432854	231.7716427	0.753058078
4.069630553	264.1628799	232.08144	0.751185964
4.110858989	264.8937139	232.446857	0.749781878
4.157512219	265.5450517	232.7725259	0.747909763
4.199529716	266.571638	233.285819	0.745101591
4.244013029	267.1241063	233.5620532	0.744633563
4.285931893	268.1693994	234.0846997	0.742761448
4.326963064	268.8128033	234.4064017	0.739953276
4.370558683	269.4864376	234.7432188	0.738081162
4.425497053	270.0281188	235.0140594	0.735741019
4.473827038	270.8252184	235.4126092	0.732464818
4.518507616	271.4222311	235.7111156	0.730592704
4.562497765	272.3732763	236.1866382	0.727784532
4.609940057	272.9671087	236.4835544	0.72497636
4.658270041	273.257202	236.628601	0.722636217
4.705909598	274.2114373	237.1057187	0.719360016
4.753845052	274.6521039	237.326052	0.717019873
4.798920161	275.2067484	237.6033742	0.71467973
4.841825351	275.8467045	237.9233523	0.712339587
4.886210031	276.8468788	238.4234394	0.7076593
4.934835914	277.0451494	238.5225747	0.705787186
4.982376838	277.4721975	238.7360988	0.702510985
5.0245916	278.2147126	239.1073563	0.699234785
5.078050481	278.7820403	239.3910202	0.695958584
5.125887303	279.3866652	239.6933326	0.69408647
5.172737798	279.8721238	239.9360619	0.689874212
5.215445724	280.4763149	240.2381575	0.686129983
5.260126302	281.1281515	240.5640758	0.682853782
5.311415265	281.4234507	240.7117254	0.679109553
5.359252087	281.9512785	240.9756393	0.676301382
5.404031297	282.8808654	241.4404327	0.672557152
5.453446241	283.2677391	241.6338696	0.668812923
5.497239125	283.8818686	241.9409343	0.665068694
5.543004662	284.0540145	242.0270073	0.662728551
5.58807977	284.3468523	242.1734262	0.658984322
5.635423429	285.1590304	242.5795152	0.655240093
5.680202639	285.8362461	242.9181231	0.651027835
5.725080482	286.2418626	243.1209313	0.647283606
5.77952569	286.4378513	243.2189257	0.644943463
5.823713104	286.2752123	243.1376062	0.641199234
5.871056763	287.3359108	243.6679554	0.636986976
5.917611361	287.6655211	243.8327606	0.633710776
5.96534955	288.2634366	244.1317183	0.630902604
6.005394394	288.4182484	244.2091242	0.627158375
6.046326932	288.9470875	244.4735438	0.623882174
6.090810245	289.4239894	244.7119947	0.618733859
6.133419538	289.4838598	244.7419299	0.615457659
6.181059094	290.048641	245.0243205	0.611245401
