eps1	q	p	epsv
0	0	100	0
0.00426469	3.842977998	101.921489	0.00506193
0.017588906	11.34602189	105.6730109	0.01518579
0.040176653	22.05790935	111.0289547	0.034052983
0.074332769	37.46735909	118.7336795	0.063964388
0.114861794	53.06193899	126.5309695	0.09203509
0.153418604	68.23673239	134.1183662	0.121026144
0.202921208	82.40681864	141.2034093	0.146795969
0.248282161	95.66523474	147.8326174	0.171645443
0.284965366	108.2532994	154.1266497	0.19419404
0.341173502	119.8050247	159.9025124	0.215362111
0.375884492	130.7846651	165.3923326	0.23468948
0.419076008	140.911579	170.4557895	0.252176147
0.461478637	150.2711774	175.1355887	0.268742463
0.508515972	159.3238905	179.6619453	0.282547727
0.551806099	167.3155894	183.6577947	0.295892815
0.59835038	175.1756626	187.5878313	0.307397201
0.644993273	182.6750212	191.3375106	0.317981237
0.689466728	189.5012532	194.7506266	0.327644921
0.731967968	196.1056853	198.0528427	0.335467904
0.786401111	202.2349692	201.1174846	0.34191036
0.823478759	208.1052779	204.052639	0.348352816
0.865684167	213.667594	206.833797	0.352954571
0.905424306	219.1195908	209.5597954	0.356175799
0.962026886	224.4118552	212.2059276	0.359397027
1.010543383	229.3277719	214.663886	0.36215808
1.062708478	234.0355021	217.0177511	0.362618255
1.100673623	238.6292504	219.3146252	0.363538606
1.148401234	242.8404924	221.4202462	0.363078431
1.197706617	247.2023463	223.6011732	0.361237729
1.247110611	251.0819754	225.5409877	0.359397027
1.296120161	254.9819423	227.4909712	0.356175799
1.34483388	258.726678	229.363339	0.353414746
1.384574019	262.3785002	231.1892501	0.348812992
1.432597462	266.1046911	233.0523456	0.344671413
1.47608481	269.3965403	234.6982702	0.339609483
1.519966601	272.7071015	236.3535508	0.333167027
1.568088654	276.0022726	238.0011363	0.32672457
1.616309319	279.1601207	239.5800604	0.320742289
1.664431373	282.3133256	241.1566628	0.314299833
1.709693715	285.1702635	242.5851318	0.306016675
1.751899123	288.0982587	244.0491294	0.298653868
1.797555907	291.0715749	245.5357875	0.289910534
1.847452955	293.8230309	246.9115155	0.281167201
1.898434721	296.7094081	248.3547041	0.271963692
1.94596511	299.2081399	249.60407	0.262300007
1.992016338	301.7172803	250.8586402	0.252636323
2.038757841	304.2734123	252.1367062	0.242512463
2.085992398	306.5737451	253.2868726	0.231928427
2.132240848	308.9456161	254.4728081	0.221344392
2.18016568	311.1980396	255.5990198	0.20937983
2.225329411	313.6255332	256.8127666	0.197415268
2.272761189	315.7312978	257.8656489	0.185450707
2.318812417	317.9248103	258.9624052	0.172565794
2.361905322	319.9770832	259.9885416	0.160601232
2.409731543	321.6278916	260.8139458	0.148176495
2.461403585	323.7844111	261.8922056	0.134831407
2.510117303	325.7865749	262.8932875	0.121026144
2.5586338	327.6359496	263.8179748	0.10722088
2.599261436	329.5876697	264.7938349	0.092955441
2.641171012	331.3586541	265.6793271	0.079610353
2.692941664	333.0625791	266.5312896	0.064884739
2.735541515	334.873563	267.4367815	0.049698949
2.789580215	336.3967433	268.1983717	0.034973334
2.831193958	338.1446458	269.0723229	0.019787544
2.880203509	339.8717342	269.9358671	0.004141579
2.926057515	341.4133709	270.7066855	-0.011504386
2.98591425	343.2999823	271.6499912	-0.027150352
3.027034939	344.6334669	272.3167335	-0.042796317
