eps1	q	p	epsv
0	0	100	0
0.004947677	6.905866822	103.4529334	0.007820174
0.030718125	18.15429881	109.0771494	0.025300564
0.052854411	29.53402532	114.7670127	0.042320943
0.079576278	40.32695603	120.163478	0.058881312
0.104272158	51.92273395	125.961367	0.078661753
0.141301333	66.76553203	133.382766	0.100742245
0.179312713	83.13361431	141.5668072	0.121902716
0.221547581	100.0405632	150.0202816	0.144903229
0.259755403	116.7237868	158.3618934	0.16514368
0.294525503	132.8486371	166.4243186	0.18446411
0.333224429	148.8876729	174.4438365	0.20240451
0.365440793	164.2598724	182.1299362	0.216664828
0.404827262	179.3032068	189.6516034	0.230465135
0.44863366	193.7531806	196.8765903	0.242425402
0.492145396	207.1778634	203.5889317	0.251165597
0.524165319	220.1152642	210.0576321	0.258525761
0.568266378	232.4054917	216.2027459	0.264505894
0.605688435	243.9255572	221.9627786	0.268645986
0.644190919	255.3087049	227.6543525	0.269566007
0.687506213	265.987873	232.9939365	0.270026017
0.725812256	276.4033141	238.2016571	0.268645986
0.768734668	286.1915064	243.0957532	0.264965904
0.806549608	295.4826867	247.7413434	0.259905791
0.854481271	304.3511038	252.1755519	0.253925658
0.895832153	312.7292968	256.3646484	0.247025504
0.939147448	320.6612943	260.3306472	0.23828531
0.982266301	328.490418	264.245209	0.228165084
1.0198848	335.7400867	267.8700434	0.217584848
1.068307566	342.7053193	271.3526597	0.205624582
1.113881935	349.7122815	274.8561408	0.192284285
1.153268405	355.911231	277.9556155	0.178943987
1.189118932	362.5446585	281.2723293	0.164223659
1.234005756	368.6198181	284.3099091	0.148583311
1.273883329	374.3225247	287.1612624	0.131562932
1.321323889	380.0614666	290.0307333	0.114542552
1.366112493	385.5510829	292.7755415	0.095222122
1.405695404	390.6364716	295.3182358	0.077281722
1.451859097	395.8312985	297.9156493	0.056581261
1.488593609	400.8344048	300.4172024	0.03634081
1.540257657	405.69261	302.846305	0.014720328
1.583278289	410.5037878	305.2518939	-0.007820174
1.621584332	414.9534519	307.476726	-0.029900666
1.662149449	419.1867995	309.5933998	-0.052901179
1.712929511	423.3397257	311.6698629	-0.076821712
1.75850388	427.2471699	313.623585	-0.101202255
1.799854762	431.3263759	315.663188	-0.126042809
1.843366497	435.0396998	317.5198499	-0.151343372
1.885208482	438.7242312	319.3621156	-0.177563957
1.929800645	442.5090994	321.2545497	-0.203324531
1.982152237	445.9010414	322.9505207	-0.230005125
2.023404898	449.6548089	324.8274045	-0.25760574
2.070845459	453.2141365	326.6070683	-0.285206355
2.109839046	456.3134701	328.1567351	-0.313726991
2.157083165	459.467413	329.7337065	-0.342247626
2.201478886	462.2653146	331.1326573	-0.370768262
2.23831162	465.2613572	332.6306786	-0.399748907
2.283689547	468.5784964	334.2892482	-0.430109584
2.323370679	471.0288512	335.5144256	-0.460930271
2.370811239	473.8985481	336.9492741	-0.491750957
2.419725109	476.7451016	338.3725508	-0.523031654
2.457245387	479.2379042	339.6189521	-0.553852341
2.495453209	482.068425	341.0342125	-0.586513069
2.537688077	484.6405023	342.3202512	-0.618253776
2.581887357	486.7705071	343.3852536	-0.649074463
2.626774181	489.1336412	344.5668206	-0.683115222
2.674705845	491.0654591	345.5327296	-0.714855929
2.712520784	493.3706921	346.6853461	-0.748436677
2.755737858	495.3433292	347.6716646	-0.782477436
2.802097992	497.3977169	348.6988585	-0.815598174
2.849342111	499.579884	349.789942	-0.849638932
2.89334495	501.427868	350.713934	-0.884599711
2.932927861	503.1532106	351.5766053	-0.918180459
2.975162729	505.4773242	352.7386621	-0.953141238
3.023389054	507.1161873	353.5580937	-0.986721987
3.062284421	508.8026911	354.4013456	-1.021682766
3.105010391	510.6166187	355.3083094	-1.058023575
3.148718568	512.240935	356.1204675	-1.093904375
3.199989733	513.8768321	356.9384161	-1.129325164
3.24369791	515.1675708	357.5837854	-1.166125984
3.286914984	516.2673801	358.1336901	-1.201086763
3.326006792	517.7633028	358.8816514	-1.237427573
3.368536321	519.0396345	359.5198173	-1.275148414
3.413030263	520.1906632	360.0953316	-1.311029213
3.459488617	521.2569529	360.6284765	-1.347370023
3.498580425	522.8967496	361.4483748	-1.384170843
3.543172588	523.742886	361.871443	-1.420511653
3.588845177	525.1784902	362.5892451	-1.458692503
3.628526308	526.111853	363.0559265	-1.495953334
3.676457972	526.9550254	363.4775127	-1.533214164
3.730086432	528.004702	364.002351	-1.570935004
3.772517741	529.0333251	364.5166626	-1.609115855
3.816029476	530.2845418	365.1422709	-1.647756716
3.861309183	531.0023343	365.5011672	-1.685477557
3.904428037	531.4681806	365.7340903	-1.722278377
3.945287815	532.5335705	366.2667853	-1.761839258
3.995773215	533.3145932	366.6572966	-1.799100089
4.037418759	534.052163	367.0260815	-1.837280939
4.090065013	534.878967	367.4394835	-1.8759218
4.130040806	535.5967577	367.7983789	-1.914102651
4.169918379	536.7275071	368.3637536	-1.951823492
4.216573174	537.119456	368.559728	-1.990464353
4.262343984	537.831872	368.915936	-2.029105214
4.309195221	538.6049497	369.3024749	-2.067746075
4.357421547	539.0182219	369.509111	-2.106386936
4.398084884	539.4753927	369.7376964	-2.144567786
4.448472064	539.9508493	369.9754247	-2.183208647
4.492966006	540.5751406	370.2875703	-2.222309519
4.531664931	541.1201147	370.5600574	-2.26141039
4.588436451	541.5212099	370.760605	-2.300051251
4.634600143	542.0431126	371.0215563	-2.338232102
4.67673679	542.4567805	371.2283903	-2.376872963
4.717007245	543.1236344	371.5618172	-2.415973834
4.756688377	543.2934822	371.6467411	-2.453234664
4.7982357	543.5814359	371.790718	-2.493255556
4.838506155	544.0185715	372.0092858	-2.531896417
4.883884083	544.6199232	372.3099616	-2.570537278
4.921993684	545.064679	372.5323395	-2.609638149
4.964130331	545.2259731	372.6129866	-2.64827901
5.015794378	545.7765685	372.8882843	-2.687379882
5.06814597	545.8219411	372.9109706	-2.726940763
5.110577279	545.90092	372.95046	-2.766041634
5.153106808	546.0906257	373.0453129	-2.804682495
5.198288295	545.8835801	372.9417901	-2.843783367
5.243862663	546.0150509	373.0075255	-2.881964218
5.287669061	546.4652004	373.2326002	-2.921985109
5.331966562	546.2502454	373.1251227	-2.96016596
5.375478297	546.6213766	373.3106883	-2.999266831
5.416239856	546.533671	373.2668355	-3.039287723
5.468296786	546.5442282	373.2721141	-3.078388594
5.507879696	546.8126654	373.4063327	-3.117029455
5.559052641	546.3594774	373.1797387	-3.156130327
5.600305302	546.3418123	373.1709062	-3.194771188
5.645683229	546.4284046	373.2142023	-3.234332069
5.693025569	546.2830149	373.1415075	-3.27297293
5.736242643	545.6679116	372.8339558	-3.312073801
5.777298863	545.8523454	372.9261727	-3.350254652
5.822676791	545.7843117	372.8921559	-3.388895513
5.873751515	545.5310938	372.7655469	-3.427996385
5.919620545	544.8460022	372.4230011	-3.466637246
5.963525163	544.9045686	372.4522843	-3.504818096
6.008215547	544.961493	372.4807465	-3.543918968
6.053298812	544.5654963	372.2827482	-3.582099818
6.090131546	544.0901247	372.0450624	-3.619360649
6.136688121	544.0646304	372.0323152	-3.65938154
6.178628326	543.3077422	371.6538711	-3.697562391
6.227640417	542.9889372	371.4944686	-3.735743242
6.271741476	542.8139512	371.4069756	-3.773924093
6.318789154	541.8810576	370.9405288	-3.812104943
6.366524377	541.6220128	370.8110064	-3.849825784
6.409741451	541.2339947	370.6169974	-3.888926655
6.452565642	540.2447501	370.1223751	-3.925727475
6.496175598	539.9972585	369.9986293	-3.964368336
6.539785555	539.5356383	369.7678192	-4.001629167
