eps1	q	p	u
0	0	100	0
0.100475343	29.02499001	122.557959	6.467031
0.200950686	42.2780233	131.2105963	11.067427
0.301426028	51.32736354	137.3566775	13.970686
0.401901371	57.44184399	141.738337	15.703507
0.502376714	62.05197981	145.1612628	16.890717
0.602852057	66.69149442	149.2330434	17.458451
0.703327399	70.99493275	153.3784007	17.616532
0.803802742	74.8957933	157.4534003	17.442393
0.904278085	78.19299413	161.0824631	17.110531
1.004753428	81.23511498	164.542088	16.693027
1.507130141	95.32160101	183.197211	12.12439
2.009506855	103.3418396	195.3600176	7.981822
2.511883569	110.3899954	206.8504884	3.539507
3.014260283	115.359137	215.758442	-0.399305
3.516636997	118.005599	221.244646	-3.239047
4.019013711	123.9351616	230.3868486	-6.451687
4.521390424	128.8682228	238.7837668	-9.915544
5.023767138	132.1995246	243.3279716	-11.128447
6.028520566	138.1805765	253.7845245	-15.603948
7.033273993	141.7868858	261.6557988	-19.868913
8.038027421	145.9778604	269.6317874	-23.653927
9.042780849	149.5548149	276.0010229	-26.446208
10.04753428	151.1262032	280.8917472	-29.765544
11.0522877	153.2064484	285.9337734	-32.727325
12.05704113	155.904355	288.391526	-32.487171
13.06179456	159.0270913	293.6367533	-34.609662
14.06654799	160.3431659	296.6174919	-36.274326
15.07130141	160.7605282	299.7753942	-39.014866
16.07605484	160.5124895	300.8448125	-40.332323
17.08080827	160.8423125	303.3249605	-42.482648
18.0855617	161.639762	302.531612	-40.89185
19.09031512	161.8385602	304.1295842	-42.291024
20.09506855	159.2071949	301.2091779	-42.001983
