eps1	q	p	u
0	0	100	0
0.100339531	40.98020378	135.3571018	5.623102
0.200679061	58.16852239	147.9657214	10.202801
0.301018592	73.83767198	160.576743	13.260929
0.401358122	88.02592547	173.0839185	14.942007
0.501697653	99.90875942	184.1317434	15.777016
0.602037183	110.7332886	195.0354916	15.697797
0.702376714	121.2949362	206.3564972	14.938439
0.802716244	130.7780118	217.2044898	13.573522
0.903055775	140.7633685	228.9080365	11.855332
1.003395305	150.1746755	240.3858105	9.788865
1.505092958	193.7783258	297.2279088	-3.449583
2.006790611	229.8692343	347.6720373	-17.802803
2.508488264	272.7757629	407.9645789	-35.188816
3.010185916	310.2192611	463.1762661	-52.957005
3.511883569	347.5368591	520.4587671	-72.921908
4.013581222	371.6320451	558.1731511	-86.541106
4.515278875	390.7840186	589.5679866	-98.783968
5.016976527	409.3307645	619.3448785	-110.014114
6.020371833	437.2724221	667.5626051	-130.290183
7.023767138	457.3675974	705.4295374	-148.06194
8.027162444	472.2956732	735.2407422	-162.945069
9.030557749	484.1091338	758.4170948	-174.307961
10.03395305	491.4304607	773.2110307	-181.78057
11.03734836	495.6426632	784.0651172	-188.422454
12.04074367	497.5188451	791.3545791	-193.835734
13.04413897	498.904754	794.758781	-195.854027
14.04753428	492.9792105	788.8332375	-195.854027
15.05092958	487.0555725	782.9095995	-195.854027
16.05432489	481.1338576	776.9878846	-195.854027
17.05772019	475.2140837	771.0681107	-195.854027
18.0611155	469.2962692	765.1502962	-195.854027
19.0645108	463.3804331	759.2344601	-195.854027
20.06790611	457.4665947	753.3206217	-195.854027
