0.2664078594,51.2893525,0.996131659
0.2590793644,100.12414,0.975289261
0.2522481404,201.81,0.97513162
0.286635346,300.4,0.970028963
0.2649530641,398.37,0.959756724
0.2250026318,50.53065257,0.879798622
0.2860010283,101.64407,0.86223629
0.2983932126,200.11,0.858910751
0.2908382314,299.03,0.847616879
0.2218473915,401.29,0.846817961
0.286426976,51.56424726,0.840147384
0.265185351,101.03944,0.816769337
0.2615301791,200.4,0.817760544
0.2768379376,298.97,0.813569451
0.2427695234,392.41,0.799326128
0.2500571452,51.43527894,0.743476056
0.2382935285,100.27986,0.758169085
0.2170024707,201.22,0.748329838
0.2043022692,299.64,0.734091612
0.2500758826,402.27,0.752638972
0.2144660467,49.46086217,0.732817483
0.2170933939,99.91432,0.73509847
0.2155461141,200.54,0.706482298
0.2223394322,301.51,0.697044789
0.2224927278,399.18,0.717793606
