0	104.064	0	0
-0.000312286	104.0232673	0.048802002	0.057
0.000934942	103.99	0	0.074
0.00327038	104.0795712	0.364713516	0.106
0.007318601	104.9222629	2.868788764	0.098
0.01339189	105.8044093	5.737228016	0.172
0.0219558	106.7089706	9.164911814	0.41
0.03456985	108.0768465	13.80853938	0.59
0.05029718	109.7421242	19.51837256	0.828
0.06804957	110.8768815	24.35064458	1.304
0.08642463	112.3197027	30.0561081	1.763
0.1043322	113.4589321	35.68779618	2.501
0.1202166	114.1617558	39.68926751	3.132
0.1345435	114.5463368	43.23101049	3.928
0.1457551	114.6325052	45.77551548	4.69
0.154319	114.3608897	47.543669	5.551
0.1599248	113.848791	48.3923731	6.346
0.1625725	113.0270562	48.41416855	7.175
0.1625725	112.0716103	47.66283092	7.88
0.1588347	111.1835098	46.54652931	8.396
0.1516732	110.1647541	45.11626239	8.938
0.1410842	109.0667965	43.59238943	9.528
0.1261347	107.8337739	41.00032162	9.897
0.1091602	105.3780286	34.59308585	10.217
0.09187526	102.8201961	27.09058821	10.274
0.07412286	100.9502727	21.57981802	10.307
0.05496997	98.976456	15.36136801	10.208
0.03503732	97.01686812	9.140604371	10.094
0.01401454	95.15619889	2.868596658	9.864
-0.00685113	93.37592002	-3.357239931	9.569
-0.02849656	91.863339	-9.148983005	9.151
-0.05092175	90.66659392	-13.57621823	8.872
-0.07303274	89.46096486	-18.32410543	8.495
-0.09639095	88.60304766	-22.00485703	8.126
-0.1189713	87.89792249	-24.88223252	7.872
-0.1418621	87.51768412	-27.08194765	7.519
-0.1652203	86.92380528	-29.13358416	7.429
-0.1876455	86.4759307	-30.84620791	7.306
-0.208356	86.03579304	-32.26562088	7.273
-0.2271985	85.6028861	-33.48934171	7.298
-0.2437036	85.22699855	-34.27500434	7.412
-0.2570955	84.74207439	-34.81777683	7.716
-0.2670619	84.38953704	-35.01438888	8.003
-0.2734474	84.0531053	-34.9676841	8.355
-0.2751602	83.69912754	-34.55361738	8.847
-0.2723573	83.45963892	-33.91908324	9.298
-0.2647264	83.32698285	-33.23405144	9.659
-0.2514897	83.00659083	-32.59622752	10.192
-0.2329595	82.87501058	-31.90796825	10.553
