            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    0.00000e+000    6.01336e+002    5.99930e+002    5.00081e+002    1.01255e+002    9.98486e+001    1.00317e+002    1.40625e+000    0.00000e+000
    2.01500e+000    6.01389e+002    6.00022e+002    5.00026e+002    1.01363e+002    9.99963e+001    1.00452e+002    1.36676e+000    0.00000e+000
    4.03100e+000    6.01330e+002    6.00013e+002    5.00054e+002    1.01276e+002    9.99593e+001    1.00398e+002    1.31690e+000    0.00000e+000
    6.14000e+000    6.01350e+002    5.99967e+002    5.00035e+002    1.01315e+002    9.99317e+001    1.00393e+002    1.38330e+000    0.00000e+000
    8.20300e+000    6.01423e+002    6.00013e+002    5.00035e+002    1.01388e+002    9.99778e+001    1.00448e+002    1.41054e+000    0.00000e+000
    1.02190e+001    6.01366e+002    5.99957e+002    5.00054e+002    1.01313e+002    9.99039e+001    1.00374e+002    1.40880e+000    0.00000e+000
    1.22340e+001    6.01368e+002    5.99985e+002    5.00072e+002    1.01296e+002    9.99131e+001    1.00374e+002    1.38264e+000    0.00000e+000
    1.43440e+001    6.01362e+002    6.00050e+002    5.00146e+002    1.01216e+002    9.99038e+001    1.00341e+002    1.31189e+000    0.00000e+000
    1.64220e+001    6.01422e+002    6.00123e+002    5.00109e+002    1.01313e+002    1.00015e+002    1.00447e+002    1.29851e+000    0.00000e+000
    1.84220e+001    6.01455e+002    5.99948e+002    5.00072e+002    1.01383e+002    9.98762e+001    1.00378e+002    1.50640e+000    0.00000e+000
    2.04370e+001    6.01445e+002    5.99994e+002    5.00090e+002    1.01355e+002    9.99039e+001    1.00387e+002    1.45077e+000    0.00000e+000
    2.25000e+001    6.01400e+002    5.99985e+002    5.00090e+002    1.01310e+002    9.98946e+001    1.00366e+002    1.41526e+000    0.00000e+000
    2.45150e+001    6.01415e+002    5.99985e+002    5.00063e+002    1.01352e+002    9.99224e+001    1.00399e+002    1.42962e+000    0.00000e+000
    2.65310e+001    6.01393e+002    6.00022e+002    5.00090e+002    1.01302e+002    9.99316e+001    1.00388e+002    1.37068e+000    0.00000e+000
    2.86560e+001    6.01373e+002    6.00013e+002    5.00137e+002    1.01236e+002    9.98762e+001    1.00329e+002    1.35996e+000    0.00000e+000
    3.07030e+001    6.01875e+002    6.00123e+002    5.00331e+002    1.01544e+002    9.97929e+001    1.00377e+002    1.75105e+000    0.00000e+000
    3.27190e+001    6.03974e+002    6.00013e+002    5.01060e+002    1.02914e+002    9.89524e+001    1.00273e+002    3.96161e+000    9.98472e-004
    3.47970e+001    6.06052e+002    5.99994e+002    5.01910e+002    1.04141e+002    9.80841e+001    1.00103e+002    6.05728e+000    1.99694e-003
    3.69370e+001    6.07989e+002    6.00096e+002    5.02714e+002    1.05275e+002    9.73819e+001    1.00013e+002    7.89304e+000    2.99542e-003
    3.90150e+001    6.09677e+002    6.00031e+002    5.03499e+002    1.06178e+002    9.65321e+001    9.97473e+001    9.64551e+000    4.99236e-003
    4.10000e+001    6.11131e+002    6.00050e+002    5.04284e+002    1.06847e+002    9.57655e+001    9.94594e+001    1.10817e+001    6.98931e-003
    4.30310e+001    6.12452e+002    6.00004e+002    5.04931e+002    1.07521e+002    9.50727e+001    9.92223e+001    1.24488e+001    7.98778e-003
    4.51250e+001    6.13793e+002    5.99967e+002    5.05605e+002    1.08188e+002    9.43615e+001    9.89702e+001    1.38260e+001    9.98472e-003
    4.71400e+001    6.14942e+002    6.00022e+002    5.06326e+002    1.08616e+002    9.36964e+001    9.86696e+001    1.49198e+001    1.19817e-002
    4.92190e+001    6.16034e+002    6.00022e+002    5.07055e+002    1.08978e+002    9.29666e+001    9.83039e+001    1.60119e+001    1.29801e-002
    5.13440e+001    6.17253e+002    6.00031e+002    5.07720e+002    1.09533e+002    9.23107e+001    9.80513e+001    1.72219e+001    1.49771e-002
    5.34220e+001    6.18284e+002    6.00068e+002    5.08413e+002    1.09870e+002    9.16548e+001    9.77266e+001    1.82154e+001    1.69740e-002
    5.54370e+001    6.19243e+002    6.00068e+002    5.09078e+002    1.10164e+002    9.09898e+001    9.73812e+001    1.91745e+001    1.89710e-002
