            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    0.00000e+000    7.01027e+002    6.99964e+002    4.99556e+002    2.01471e+002    2.00408e+002    2.00762e+002    1.06233e+000    0.00000e+000
    2.01600e+000    7.01005e+002    7.00084e+002    4.99648e+002    2.01356e+002    2.00436e+002    2.00743e+002    9.20522e-001    0.00000e+000
    4.03100e+000    7.01056e+002    7.00029e+002    4.99584e+002    2.01472e+002    2.00445e+002    2.00788e+002    1.02738e+000    0.00000e+000
    6.11000e+000    7.01084e+002    7.00001e+002    4.99565e+002    2.01518e+002    2.00436e+002    2.00797e+002    1.08256e+000    0.00000e+000
    8.12500e+000    7.01033e+002    7.00084e+002    4.99658e+002    2.01376e+002    2.00426e+002    2.00743e+002    9.49396e-001    0.00000e+000
    1.01410e+001    7.01035e+002    7.00075e+002    4.99621e+002    2.01415e+002    2.00454e+002    2.00774e+002    9.60605e-001    0.00000e+000
    1.21410e+001    7.01169e+002    6.99992e+002    4.99621e+002    2.01548e+002    2.00371e+002    2.00763e+002    1.17678e+000    0.00000e+000
    1.42030e+001    7.01027e+002    7.00066e+002    4.99611e+002    2.01415e+002    2.00454e+002    2.00775e+002    9.60885e-001    0.00000e+000
    1.62190e+001    7.01215e+002    7.00029e+002    4.99658e+002    2.01557e+002    2.00371e+002    2.00767e+002    1.18618e+000    0.00000e+000
    1.82350e+001    7.01103e+002    7.00029e+002    4.99593e+002    2.01510e+002    2.00436e+002    2.00794e+002    1.07430e+000    0.00000e+000
    2.02970e+001    7.01039e+002    7.00075e+002    4.99630e+002    2.01409e+002    2.00445e+002    2.00766e+002    9.64215e-001    0.00000e+000
    2.23130e+001    7.01124e+002    7.00084e+002    4.99639e+002    2.01485e+002    2.00445e+002    2.00792e+002    1.03963e+000    0.00000e+000
    2.43280e+001    7.01081e+002    7.00047e+002    4.99630e+002    2.01451e+002    2.00417e+002    2.00762e+002    1.03383e+000    0.00000e+000
    2.64060e+001    7.01145e+002    7.00001e+002    4.99630e+002    2.01515e+002    2.00371e+002    2.00752e+002    1.14392e+000    0.00000e+000
    2.84220e+001    7.01054e+002    7.00056e+002    4.99648e+002    2.01405e+002    2.00408e+002    2.00741e+002    9.97359e-001    0.00000e+000
    3.04380e+001    7.01122e+002    6.99992e+002    4.99639e+002    2.01483e+002    2.00353e+002    2.00729e+002    1.12986e+000    0.00000e+000
    3.25160e+001    7.02236e+002    7.00020e+002    4.99990e+002    2.02246e+002    2.00029e+002    2.00768e+002    2.21639e+000    0.00000e+000
    3.45310e+001    7.04654e+002    7.00084e+002    5.00905e+002    2.03749e+002    1.99179e+002    2.00703e+002    4.57005e+000    9.98742e-004
    3.66100e+001    7.09074e+002    7.00066e+002    5.02752e+002    2.06322e+002    1.97314e+002    2.00316e+002    9.00820e+000    2.99622e-003
    3.86410e+001    7.11930e+002    7.00010e+002    5.03898e+002    2.08032e+002    1.96113e+002    2.00086e+002    1.19192e+001    3.99497e-003
    4.07190e+001    7.14634e+002    6.99983e+002    5.05034e+002    2.09601e+002    1.94949e+002    1.99833e+002    1.46518e+001    5.99245e-003
    4.27970e+001    7.17019e+002    7.00084e+002    5.06124e+002    2.10895e+002    1.93960e+002    1.99605e+002    1.69350e+001    7.98993e-003
    4.48280e+001    7.19197e+002    7.00038e+002    5.07205e+002    2.11992e+002    1.92833e+002    1.99220e+002    1.91587e+001    8.98867e-003
    4.67970e+001    7.21151e+002    6.99973e+002    5.08230e+002    2.12921e+002    1.91743e+002    1.98803e+002    2.11772e+001    9.98742e-003
    4.88280e+001    7.23146e+002    7.00103e+002    5.09209e+002    2.13937e+002    1.90893e+002    1.98575e+002    2.30436e+001    1.19849e-002
    5.09380e+001    7.25107e+002    7.00020e+002    5.10345e+002    2.14762e+002    1.89674e+002    1.98037e+002    2.50876e+001    1.39824e-002
    5.30000e+001    7.26926e+002    7.00010e+002    5.11371e+002    2.15556e+002    1.88640e+002    1.97612e+002    2.69158e+001    1.59799e-002
    5.50160e+001    7.28611e+002    7.00001e+002    5.12368e+002    2.16243e+002    1.87633e+002    1.97170e+002    2.86104e+001    1.69786e-002
