            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    8.65940e+001    7.50142e+002    6.99919e+002    5.28066e+002    2.22076e+002    1.71853e+002    1.88594e+002    5.02224e+001    4.11353e-002
    8.86720e+001    7.51412e+002    6.99910e+002    5.29027e+002    2.22385e+002    1.70883e+002    1.88051e+002    5.15015e+001    4.31419e-002
    9.06870e+001    7.52552e+002    6.99892e+002    5.29932e+002    2.22619e+002    1.69960e+002    1.87513e+002    5.26600e+001    4.41452e-002
    9.27660e+001    7.53716e+002    6.99910e+002    5.30838e+002    2.22878e+002    1.69073e+002    1.87008e+002    5.38053e+001    4.61518e-002
    9.47810e+001    7.54881e+002    6.99892e+002    5.31687e+002    2.23194e+002    1.68204e+002    1.86534e+002    5.49892e+001    4.81584e-002
    9.68750e+001    7.56037e+002    6.99836e+002    5.32546e+002    2.23490e+002    1.67290e+002    1.86023e+002    5.62004e+001    4.91617e-002
    9.88910e+001    7.57156e+002    6.99873e+002    5.33581e+002    2.23575e+002    1.66292e+002    1.85386e+002    5.72824e+001    5.11683e-002
    1.00969e+002    7.58200e+002    6.99882e+002    5.34394e+002    2.23807e+002    1.65489e+002    1.84928e+002    5.83179e+001    5.31749e-002
    1.02984e+002    7.59095e+002    6.99892e+002    5.35124e+002    2.23971e+002    1.64768e+002    1.84502e+002    5.92030e+001    5.41782e-002
    1.05094e+002    7.60068e+002    6.99938e+002    5.36010e+002    2.24058e+002    1.63927e+002    1.83971e+002    6.01304e+001    5.61848e-002
    1.07172e+002    7.61055e+002    6.99882e+002    5.36740e+002    2.24314e+002    1.63142e+002    1.83533e+002    6.11722e+001    5.71881e-002
    1.09187e+002    7.62033e+002    6.99892e+002    5.37525e+002    2.24508e+002    1.62366e+002    1.83080e+002    6.21413e+001    5.91948e-002
    1.11281e+002    7.63033e+002    6.99855e+002    5.38366e+002    2.24667e+002    1.61489e+002    1.82548e+002    6.31784e+001    6.12014e-002
    1.13359e+002    7.63932e+002    6.99966e+002    5.39207e+002    2.24726e+002    1.60759e+002    1.82081e+002    6.39668e+001    6.32080e-002
    1.15391e+002    7.64815e+002    6.99882e+002    5.39946e+002    2.24870e+002    1.59937e+002    1.81581e+002    6.49326e+001    6.42113e-002
    1.17453e+002    7.65737e+002    6.99882e+002    5.40703e+002    2.25034e+002    1.59179e+002    1.81131e+002    6.58543e+001    6.62179e-002
    1.19469e+002    7.66709e+002    6.99901e+002    5.41525e+002    2.25184e+002    1.58376e+002    1.80645e+002    6.68078e+001    6.82245e-002
    1.21594e+002    7.67594e+002    6.99836e+002    5.42329e+002    2.25265e+002    1.57508e+002    1.80094e+002    6.77577e+001    7.02311e-002
    1.23594e+002    7.68431e+002    6.99966e+002    5.43049e+002    2.25381e+002    1.56916e+002    1.79738e+002    6.84651e+001    7.12344e-002
    1.25672e+002    7.69308e+002    6.99901e+002    5.43871e+002    2.25437e+002    1.56029e+002    1.79165e+002    6.94073e+001    7.32410e-002
    1.27750e+002    7.70085e+002    6.99984e+002    5.44592e+002    2.25493e+002    1.55392e+002    1.78759e+002    7.01012e+001    7.52476e-002
    1.29766e+002    7.70885e+002    6.99892e+002    5.45312e+002    2.25573e+002    1.54579e+002    1.78244e+002    7.09937e+001    7.62509e-002
    1.31891e+002    7.71706e+002    6.99929e+002    5.45978e+002    2.25729e+002    1.53951e+002    1.77877e+002    7.17775e+001    7.82575e-002
    1.34000e+002    7.72615e+002    6.99901e+002    5.46827e+002    2.25788e+002    1.53074e+002    1.77312e+002    7.27143e+001    8.02641e-002
    1.36078e+002    7.73368e+002    6.99901e+002    5.47576e+002    2.25793e+002    1.52325e+002    1.76814e+002    7.34672e+001    8.12674e-002
    1.38094e+002    7.74096e+002    6.99910e+002    5.48250e+002    2.25846e+002    1.51660e+002    1.76389e+002    7.41856e+001    8.32740e-002
    1.40172e+002    7.74778e+002    6.99864e+002    5.48989e+002    2.25789e+002    1.50875e+002    1.75846e+002    7.49138e+001    8.52806e-002
    1.42187e+002    7.75537e+002    6.99993e+002    5.49636e+002    2.25902e+002    1.50358e+002    1.75539e+002    7.55440e+001    8.62839e-002
    1.44156e+002    7.76200e+002    6.99855e+002    5.50310e+002    2.25890e+002    1.49545e+002    1.74993e+002    7.63453e+001    8.82905e-002
    1.46187e+002    7.76856e+002    6.99919e+002    5.50956e+002    2.25900e+002    1.48963e+002    1.74609e+002    7.69369e+001    9.02971e-002
    1.48281e+002    7.77540e+002    6.99910e+002    5.51631e+002    2.25910e+002    1.48279e+002    1.74156e+002    7.76302e+001    9.23037e-002
    1.50391e+002    7.78278e+002    6.99864e+002    5.52324e+002    2.25955e+002    1.47540e+002    1.73679e+002    7.84142e+001    9.33070e-002
    1.52484e+002    7.78987e+002    6.99892e+002    5.52980e+002    2.26008e+002    1.46912e+002    1.73277e+002    7.90953e+001    9.53136e-002
    1.54562e+002    7.79553e+002    6.99901e+002    5.53626e+002    2.25927e+002    1.46275e+002    1.72826e+002    7.96520e+001    9.73202e-002
