            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
    5.54060e+001    7.22479e+002    6.99924e+002    5.09314e+002    2.13165e+002    1.90610e+002    1.98128e+002    2.25553e+001    1.40692e-002
    5.74840e+001    7.24029e+002    6.99942e+002    5.10090e+002    2.13939e+002    1.89852e+002    1.97881e+002    2.40869e+001    1.60791e-002
    5.95160e+001    7.25512e+002    7.00053e+002    5.10931e+002    2.14581e+002    1.89122e+002    1.97609e+002    2.54587e+001    1.80890e-002
    6.14840e+001    7.26925e+002    6.99989e+002    5.11642e+002    2.15283e+002    1.88347e+002    1.97325e+002    2.69363e+001    2.00989e-002
    6.35000e+001    7.28470e+002    6.99970e+002    5.12473e+002    2.15996e+002    1.87497e+002    1.96997e+002    2.84997e+001    2.21088e-002
    6.55940e+001    7.29813e+002    6.99869e+002    5.13332e+002    2.16481e+002    1.86536e+002    1.96518e+002    2.99445e+001    2.31137e-002
    6.76090e+001    7.31166e+002    7.00035e+002    5.14053e+002    2.17113e+002    1.85982e+002    1.96359e+002    3.11311e+001    2.61286e-002
    6.96880e+001    7.32451e+002    7.00007e+002    5.14912e+002    2.17539e+002    1.85095e+002    1.95910e+002    3.24440e+001    2.71335e-002
    7.17030e+001    7.33695e+002    6.99906e+002    5.15716e+002    2.17979e+002    1.84190e+002    1.95453e+002    3.37897e+001    2.91434e-002
    7.37190e+001    7.34805e+002    6.99933e+002    5.16446e+002    2.18359e+002    1.83488e+002    1.95112e+002    3.48716e+001    3.11533e-002
    7.57970e+001    7.35925e+002    7.00007e+002    5.17268e+002    2.18657e+002    1.82739e+002    1.94712e+002    3.59179e+001    3.21582e-002
    7.78130e+001    7.37018e+002    6.99887e+002    5.18007e+002    2.19012e+002    1.81880e+002    1.94258e+002    3.71312e+001    3.41681e-002
    7.98910e+001    7.38054e+002    6.99878e+002    5.18746e+002    2.19309e+002    1.81132e+002    1.93858e+002    3.81766e+001    3.61780e-002
    8.19060e+001    7.39133e+002    6.99924e+002    5.19522e+002    2.19611e+002    1.80402e+002    1.93472e+002    3.92087e+001    3.71829e-002
    8.39840e+001    7.40241e+002    6.99970e+002    5.20251e+002    2.19990e+002    1.79719e+002    1.93142e+002    4.02707e+001    3.91928e-002
    8.60160e+001    7.41211e+002    6.99979e+002    5.21018e+002    2.20193e+002    1.78961e+002    1.92705e+002    4.12318e+001    4.01978e-002
    8.80780e+001    7.42157e+002    6.99896e+002    5.21729e+002    2.20428e+002    1.78167e+002    1.92254e+002    4.22612e+001    4.12027e-002
    9.01090e+001    7.43119e+002    6.99979e+002    5.22542e+002    2.20576e+002    1.77437e+002    1.91817e+002    4.31393e+001    4.32126e-002
    9.22190e+001    7.44222e+002    6.99850e+002    5.23272e+002    2.20950e+002    1.76578e+002    1.91369e+002    4.43722e+001    4.42176e-002
    9.43130e+001    7.45201e+002    6.99924e+002    5.24057e+002    2.21144e+002    1.75867e+002    1.90959e+002    4.52768e+001    4.62274e-002
    9.63910e+001    7.46015e+002    6.99961e+002    5.24768e+002    2.21246e+002    1.75192e+002    1.90544e+002    4.60540e+001    4.82373e-002
    9.84060e+001    7.46870e+002    6.99961e+002    5.25489e+002    2.21381e+002    1.74472e+002    1.90108e+002    4.69089e+001    4.92423e-002
    1.00500e+002    7.47838e+002    6.99869e+002    5.26172e+002    2.21665e+002    1.73696e+002    1.89686e+002    4.79692e+001    5.02472e-002
    1.02516e+002    7.48602e+002    6.99933e+002    5.26865e+002    2.21737e+002    1.73068e+002    1.89291e+002    4.86688e+001    5.22571e-002
    1.04594e+002    7.49355e+002    6.99942e+002    5.27595e+002    2.21760e+002    1.72347e+002    1.88818e+002    4.94127e+001    5.42670e-002
    1.06719e+002    7.50273e+002    6.99906e+002    5.28380e+002    2.21893e+002    1.71525e+002    1.88315e+002    5.03679e+001    5.52719e-002
    1.08797e+002    7.51071e+002    6.99906e+002    5.29018e+002    2.22053e+002    1.70888e+002    1.87943e+002    5.11653e+001    5.72818e-002
    1.10875e+002    7.51861e+002    6.99823e+002    5.29757e+002    2.22104e+002    1.70066e+002    1.87412e+002    5.20382e+001    5.92917e-002
    1.12891e+002    7.52546e+002    6.99869e+002    5.30385e+002    2.22161e+002    1.69484e+002    1.87043e+002    5.26777e+001    6.13016e-002
    1.14906e+002    7.53314e+002    6.99924e+002    5.31087e+002    2.22227e+002    1.68837e+002    1.86634e+002    5.33897e+001    6.23065e-002
    1.17016e+002    7.54150e+002    6.99878e+002    5.31844e+002    2.22306e+002    1.68033e+002    1.86124e+002    5.42724e+001    6.43164e-002
    1.19078e+002    7.54864e+002    6.99906e+002    5.32491e+002    2.22373e+002    1.67414e+002    1.85734e+002    5.49585e+001    6.63263e-002
    1.21094e+002    7.55508e+002    6.99979e+002    5.33212e+002    2.22297e+002    1.66768e+002    1.85277e+002    5.55288e+001    6.73313e-002
    1.23109e+002    7.56284e+002    6.99933e+002    5.33895e+002    2.22389e+002    1.66038e+002    1.84822e+002    5.63507e+001    6.93412e-002
    1.25219e+002    7.56977e+002    6.99869e+002    5.34532e+002    2.22445e+002    1.65336e+002    1.84372e+002    5.71085e+001    7.13510e-002
    1.27297e+002    7.57646e+002    6.99933e+002    5.35290e+002    2.22356e+002    1.64643e+002    1.83881e+002    5.77127e+001    7.33609e-002
    1.29313e+002    7.58232e+002    6.99915e+002    5.35946e+002    2.22286e+002    1.63969e+002    1.83408e+002    5.83171e+001    7.53708e-002
    1.31391e+002    7.58935e+002    6.99841e+002    5.36676e+002    2.22260e+002    1.63165e+002    1.82863e+002    5.90940e+001    7.73807e-002
    1.33406e+002    7.59595e+002    6.99896e+002    5.37239e+002    2.22356e+002    1.62657e+002    1.82557e+002    5.96988e+001    7.93906e-002
    1.35484e+002    7.60135e+002    7.00016e+002    5.37941e+002    2.22194e+002    1.62075e+002    1.82115e+002    6.01184e+001    8.14005e-002
    1.37500e+002    7.60767e+002    6.99924e+002    5.38606e+002    2.22161e+002    1.61318e+002    1.81599e+002    6.08433e+001    8.34104e-002
    1.39516e+002    7.61271e+002    6.99942e+002    5.39179e+002    2.22092e+002    1.60764e+002    1.81206e+002    6.13282e+001    8.44153e-002
    1.41594e+002    7.61826e+002    6.99952e+002    5.39807e+002    2.22019e+002    1.60145e+002    1.80769e+002    6.18740e+001    8.64252e-002
    1.43609e+002    7.62325e+002    6.99887e+002    5.40435e+002    2.21890e+002    1.59452e+002    1.80265e+002    6.24378e+001    8.84351e-002
    1.45688e+002    7.62861e+002    6.99869e+002    5.41063e+002    2.21798e+002    1.58805e+002    1.79803e+002    6.29923e+001    9.04450e-002
    1.47703e+002    7.63306e+002    6.99989e+002    5.41571e+002    2.21734e+002    1.58417e+002    1.79523e+002    6.33170e+001    9.24549e-002
    1.49781e+002    7.63831e+002    6.99924e+002    5.42255e+002    2.21577e+002    1.57669e+002    1.78972e+002    6.39074e+001    9.44648e-002
    1.51797e+002    7.64323e+002    6.99915e+002    5.42781e+002    2.21542e+002    1.57133e+002    1.78603e+002    6.44085e+001    9.54697e-002
    1.53813e+002    7.64869e+002    6.99887e+002    5.43363e+002    2.21506e+002    1.56524e+002    1.78184e+002    6.49822e+001    9.74796e-002
    1.55891e+002    7.65366e+002    6.99915e+002    5.43955e+002    2.21411e+002    1.55960e+002    1.77777e+002    6.54511e+001    9.94895e-002
    1.57906e+002    7.65835e+002    6.99989e+002    5.44583e+002    2.21252e+002    1.55406e+002    1.77355e+002    6.58460e+001    1.01499e-001
    1.59984e+002    7.66278e+002    6.99961e+002    5.45174e+002    2.21104e+002    1.54787e+002    1.76893e+002    6.63168e+001    1.03509e-001
    1.62016e+002    7.66771e+002    6.99906e+002    5.45728e+002    2.21043e+002    1.54177e+002    1.76466e+002    6.68657e+001    1.04514e-001
    1.64078e+002    7.67275e+002    6.99906e+002    5.46273e+002    2.21002e+002    1.53632e+002    1.76089e+002    6.73698e+001    1.06524e-001
    1.66094e+002    7.67778e+002    6.99813e+002    5.46864e+002    2.20914e+002    1.52949e+002    1.75604e+002    6.79650e+001    1.08534e-001
    1.68109e+002    7.68029e+002    7.00044e+002    5.47456e+002    2.20573e+002    1.52588e+002    1.75250e+002    6.79849e+001    1.10544e-001
    1.70188e+002    7.68547e+002    6.99952e+002    5.48047e+002    2.20500e+002    1.51905e+002    1.74770e+002    6.85955e+001    1.11549e-001
    1.72203e+002    7.68965e+002    6.99850e+002    5.48555e+002    2.20411e+002    1.51295e+002    1.74334e+002    6.91152e+001    1.13559e-001
    1.74313e+002    7.69337e+002    6.99942e+002    5.49155e+002    2.20182e+002    1.50787e+002    1.73919e+002    6.93949e+001    1.15569e-001
    1.76391e+002    7.69726e+002    6.99906e+002    5.49719e+002    2.20008e+002    1.50187e+002    1.73460e+002    6.98208e+001    1.17578e-001
    1.78406e+002    7.70175e+002    6.99859e+002    5.50245e+002    2.19930e+002    1.49614e+002    1.73053e+002    7.03157e+001    1.18583e-001
    1.80500e+002    7.70558e+002    6.99896e+002    5.50800e+002    2.19759e+002    1.49097e+002    1.72651e+002    7.06619e+001    1.21598e-001
    1.82625e+002    7.70940e+002    6.99942e+002    5.51400e+002    2.19540e+002    1.48543e+002    1.72208e+002    7.09973e+001    1.22603e-001
    1.84688e+002    7.71336e+002    6.99878e+002    5.51963e+002    2.19373e+002    1.47914e+002    1.71734e+002    7.14581e+001    1.24613e-001
    1.86703e+002    7.71646e+002    6.99906e+002    5.52471e+002    2.19175e+002    1.47434e+002    1.71348e+002    7.17405e+001    1.26623e-001
    1.88813e+002    7.72139e+002    6.99878e+002    5.52961e+002    2.19178e+002    1.46917e+002    1.71004e+002    7.22607e+001    1.28633e-001
    1.90875e+002    7.72403e+002    6.99878e+002    5.53589e+002    2.18814e+002    1.46289e+002    1.70464e+002    7.25252e+001    1.30643e-001
    1.92906e+002    7.72755e+002    7.00035e+002    5.54060e+002    2.18694e+002    1.45974e+002    1.70214e+002    7.27198e+001    1.31648e-001
    1.94906e+002    7.73092e+002    6.99933e+002    5.54651e+002    2.18441e+002    1.45282e+002    1.69668e+002    7.31592e+001    1.33658e-001
    1.96984e+002    7.73470e+002    6.99841e+002    5.55150e+002    2.18319e+002    1.44691e+002    1.69234e+002    7.36286e+001    1.35667e-001
    1.99016e+002    7.73712e+002    6.99961e+002    5.55584e+002    2.18128e+002    1.44376e+002    1.68960e+002    7.37516e+001    1.37677e-001
    2.01125e+002    7.74014e+002    6.99952e+002    5.56194e+002    2.17820e+002    1.43758e+002    1.68445e+002    7.40620e+001    1.39687e-001
    2.03188e+002    7.74371e+002    6.99850e+002    5.56739e+002    2.17631e+002    1.43111e+002    1.67951e+002    7.45204e+001    1.41697e-001
    2.05203e+002    7.74683e+002    6.99841e+002    5.57164e+002    2.17519e+002    1.42677e+002    1.67624e+002    7.48420e+001    1.43707e-001
    2.07313e+002    7.74911e+002    6.99961e+002    5.57681e+002    2.17230e+002    1.42280e+002    1.67263e+002    7.49506e+001    1.44712e-001
    2.09375e+002    7.75221e+002    6.99961e+002    5.58236e+002    2.16986e+002    1.41725e+002    1.66812e+002    7.52605e+001    1.46722e-001
    2.11406e+002    7.75548e+002    6.99832e+002    5.58734e+002    2.16813e+002    1.41097e+002    1.66336e+002    7.57161e+001    1.48732e-001
    2.13484e+002    7.75821e+002    6.99896e+002    5.59215e+002    2.16607e+002    1.40682e+002    1.65990e+002    7.59252e+001    1.50742e-001
    2.15516e+002    7.76063e+002    6.99952e+002    5.59630e+002    2.16432e+002    1.40321e+002    1.65692e+002    7.61111e+001    1.52752e-001
    2.17625e+002    7.76352e+002    6.99933e+002    5.60194e+002    2.16158e+002    1.39739e+002    1.65212e+002    7.64186e+001    1.53756e-001
    2.19703e+002    7.76571e+002    6.99933e+002    5.60619e+002    2.15952e+002    1.39314e+002    1.64860e+002    7.66375e+001    1.55766e-001
    2.21781e+002    7.76763e+002    6.99989e+002    5.61118e+002    2.15645e+002    1.38871e+002    1.64462e+002    7.67744e+001    1.57776e-001
    2.23797e+002    7.77074e+002    6.99906e+002    5.61579e+002    2.15494e+002    1.38326e+002    1.64049e+002    7.71681e+001    1.58781e-001
    2.25813e+002    7.77363e+002    6.99952e+002    5.62041e+002    2.15322e+002    1.37910e+002    1.63714e+002    7.74116e+001    1.60791e-001
    2.27891e+002    7.77588e+002    6.99906e+002    5.62531e+002    2.15057e+002    1.37375e+002    1.63269e+002    7.76824e+001    1.61796e-001
    2.29906e+002    7.77756e+002    6.99979e+002    5.63011e+002    2.14745e+002    1.36968e+002    1.62894e+002    7.77768e+001    1.63806e-001
    2.32016e+002    7.78041e+002    6.99850e+002    5.63408e+002    2.14633e+002    1.36442e+002    1.62505e+002    7.81910e+001    1.64811e-001
    2.34078e+002    7.78266e+002    6.99924e+002    5.63861e+002    2.14405e+002    1.36063e+002    1.62177e+002    7.83423e+001    1.66821e-001
    2.36094e+002    7.78458e+002    7.00007e+002    5.64332e+002    2.14126e+002    1.35675e+002    1.61825e+002    7.84515e+001    1.68831e-001
    2.38109e+002    7.78669e+002    6.99859e+002    5.64859e+002    2.13811e+002    1.35001e+002    1.61271e+002    7.88099e+001    1.69836e-001
    2.40188e+002    7.78885e+002    6.99841e+002    5.65256e+002    2.13629e+002    1.34585e+002    1.60933e+002    7.90442e+001    1.71845e-001
    2.42203e+002    7.79076e+002    6.99906e+002    5.65644e+002    2.13432e+002    1.34262e+002    1.60652e+002    7.91701e+001    1.72850e-001
    2.44281e+002    7.79234e+002    6.99933e+002    5.66087e+002    2.13146e+002    1.33846e+002    1.60279e+002    7.93004e+001    1.74860e-001
    2.46297e+002    7.79388e+002    6.99906e+002    5.66503e+002    2.12885e+002    1.33403e+002    1.59897e+002    7.94829e+001    1.75865e-001
    2.48313e+002    7.79615e+002    6.99878e+002    5.66909e+002    2.12705e+002    1.32968e+002    1.59547e+002    7.97369e+001    1.77875e-001
    2.50391e+002    7.79806e+002    6.99896e+002    5.67325e+002    2.12481e+002    1.32571e+002    1.59208e+002    7.99102e+001    1.78880e-001
    2.52406e+002    7.79986e+002    6.99915e+002    5.67787e+002    2.12199e+002    1.32128e+002    1.58818e+002    8.00709e+001    1.80890e-001
    2.54516e+002    7.80174e+002    6.99915e+002    5.68221e+002    2.11953e+002    1.31694e+002    1.58447e+002    8.02593e+001    1.82900e-001
    2.56594e+002    7.80376e+002    6.99933e+002    5.68618e+002    2.11758e+002    1.31315e+002    1.58129e+002    8.04431e+001    1.84910e-001
    2.58609e+002    7.80516e+002    7.00025e+002    5.69145e+002    2.11371e+002    1.30881e+002    1.57711e+002    8.04908e+001    1.86920e-001
    2.60688e+002    7.80776e+002    6.99878e+002    5.69496e+002    2.11280e+002    1.30382e+002    1.57348e+002    8.08976e+001    1.88930e-001
    2.62703e+002    7.80893e+002    6.99915e+002    5.69921e+002    2.10972e+002    1.29994e+002    1.56987e+002    8.09783e+001    1.90939e-001
    2.64781e+002    7.81164e+002    6.99878e+002    5.70300e+002    2.10864e+002    1.29578e+002    1.56674e+002    8.12857e+001    1.92949e-001
    2.66813e+002    7.81304e+002    6.99970e+002    5.70734e+002    2.10570e+002    1.29236e+002    1.56348e+002    8.13334e+001    1.94959e-001
    2.68891e+002    7.81532e+002    6.99878e+002    5.71149e+002    2.10383e+002    1.28728e+002    1.55947e+002    8.16545e+001    1.96969e-001
    2.70906e+002    7.81608e+002    6.99970e+002    5.71584e+002    2.10024e+002    1.28387e+002    1.55599e+002    8.16377e+001    1.98979e-001
    2.73000e+002    7.81784e+002    6.99933e+002    5.72009e+002    2.09775e+002    1.27925e+002    1.55208e+002    8.18503e+001    2.00989e-001
    2.75016e+002    7.81909e+002    6.99859e+002    5.72378e+002    2.09531e+002    1.27481e+002    1.54831e+002    8.20497e+001    2.01994e-001
    2.77094e+002    7.81982e+002    6.99933e+002    5.72775e+002    2.09207e+002    1.27158e+002    1.54508e+002    8.20492e+001    2.04004e-001
    2.79109e+002    7.82107e+002    6.99942e+002    5.73209e+002    2.08898e+002    1.26733e+002    1.54121e+002    8.21647e+001    2.06014e-001
    2.81188e+002    7.82246e+002    6.99942e+002    5.73579e+002    2.08667e+002    1.26364e+002    1.53798e+002    8.23037e+001    2.08023e-001
    2.83203e+002    7.82396e+002    6.99832e+002    5.74022e+002    2.08374e+002    1.25810e+002    1.53331e+002    8.25645e+001    2.10033e-001
    2.85281e+002    7.82452e+002    6.99942e+002    5.74373e+002    2.08078e+002    1.25569e+002    1.53072e+002    8.25090e+001    2.12043e-001
    2.87297e+002    7.82625e+002    7.00025e+002    5.74687e+002    2.07938e+002    1.25338e+002    1.52871e+002    8.26000e+001    2.13048e-001
    2.89313e+002    7.82739e+002    6.99906e+002    5.75112e+002    2.07627e+002    1.24793e+002    1.52404e+002    8.28338e+001    2.16063e-001
    2.91391e+002    7.82925e+002    6.99850e+002    5.75537e+002    2.07387e+002    1.24313e+002    1.52004e+002    8.30744e+001    2.17068e-001
    2.93375e+002    7.82932e+002    6.99942e+002    5.75824e+002    2.07108e+002    1.24119e+002    1.51782e+002    8.29893e+001    2.19078e-001
    2.95406e+002    7.83176e+002    6.99878e+002    5.76239e+002    2.06936e+002    1.23639e+002    1.51405e+002    8.32978e+001    2.21088e-001
    2.97531e+002    7.83278e+002    6.99942e+002    5.76627e+002    2.06650e+002    1.23315e+002    1.51094e+002    8.33352e+001    2.23098e-001
    2.99609e+002    7.83417e+002    6.99915e+002    5.76987e+002    2.06429e+002    1.22927e+002    1.50761e+002    8.35019e+001    2.25108e-001
    3.01672e+002    7.83488e+002    6.99887e+002    5.77329e+002    2.06159e+002    1.22558e+002    1.50425e+002    8.36007e+001    2.26112e-001
    3.03688e+002    7.83624e+002    6.99896e+002    5.77754e+002    2.05870e+002    1.22142e+002    1.50051e+002    8.37277e+001    2.28122e-001
    3.05703e+002    7.83782e+002    6.99896e+002    5.78105e+002    2.05677e+002    1.21791e+002    1.49753e+002    8.38856e+001    2.30132e-001
    3.07781e+002    7.83876e+002    6.99878e+002    5.78419e+002    2.05457e+002    1.21459e+002    1.49458e+002    8.39983e+001    2.32142e-001
    3.09797e+002    7.83864e+002    6.99970e+002    5.78798e+002    2.05067e+002    1.21172e+002    1.49137e+002    8.38944e+001    2.34152e-001
    3.11813e+002    7.83978e+002    6.99942e+002    5.79186e+002    2.04792e+002    1.20757e+002    1.48768e+002    8.40352e+001    2.35157e-001
    3.13875e+002    7.84095e+002    6.99896e+002    5.79528e+002    2.04567e+002    1.20369e+002    1.48435e+002    8.41986e+001    2.37167e-001
    3.15891e+002    7.84207e+002    6.99924e+002    5.79879e+002    2.04329e+002    1.20045e+002    1.48140e+002    8.42832e+001    2.39177e-001
    3.17906e+002    7.84251e+002    6.99887e+002    5.80156e+002    2.04095e+002    1.19731e+002    1.47852e+002    8.43635e+001    2.40182e-001
    3.20000e+002    7.84384e+002    6.99961e+002    5.80599e+002    2.03785e+002    1.19362e+002    1.47503e+002    8.44233e+001    2.42192e-001
    3.22016e+002    7.84455e+002    6.99878e+002    5.80895e+002    2.03560e+002    1.18983e+002    1.47175e+002    8.45766e+001    2.44201e-001
    3.24078e+002    7.84515e+002    6.99906e+002    5.81311e+002    2.03204e+002    1.18595e+002    1.46798e+002    8.46092e+001    2.45206e-001
    3.26094e+002    7.84615e+002    6.99878e+002    5.81597e+002    2.03018e+002    1.18281e+002    1.46527e+002    8.47375e+001    2.47216e-001
    3.28109e+002    7.84723e+002    7.00062e+002    5.81911e+002    2.02812e+002    1.18151e+002    1.46372e+002    8.46604e+001    2.49226e-001
    3.30188e+002    7.84812e+002    6.99952e+002    5.82290e+002    2.02522e+002    1.17662e+002    1.45949e+002    8.48604e+001    2.51236e-001
    3.32203e+002    7.84918e+002    6.99878e+002    5.82613e+002    2.02305e+002    1.17265e+002    1.45611e+002    8.50398e+001    2.53246e-001
    3.34281e+002    7.84911e+002    6.99896e+002    5.82918e+002    2.01993e+002    1.16978e+002    1.45317e+002    8.50147e+001    2.55256e-001
    3.36297e+002    7.85025e+002    6.99989e+002    5.83269e+002    2.01756e+002    1.16720e+002    1.45065e+002    8.50360e+001    2.57266e-001
    3.38313e+002    7.85071e+002    6.99952e+002    5.83592e+002    2.01479e+002    1.16360e+002    1.44733e+002    8.51193e+001    2.59276e-001
    3.40375e+002    7.85074e+002    6.99924e+002    5.83989e+002    2.01085e+002    1.15935e+002    1.44318e+002    8.51499e+001    2.60281e-001
    3.42391e+002    7.85147e+002    6.99942e+002    5.84267e+002    2.00880e+002    1.15676e+002    1.44077e+002    8.52043e+001    2.62290e-001
    3.44406e+002    7.85281e+002    6.99878e+002    5.84617e+002    2.00663e+002    1.15260e+002    1.43728e+002    8.54027e+001    2.64300e-001
    3.46484e+002    7.85372e+002    6.99887e+002    5.84969e+002    2.00403e+002    1.14919e+002    1.43414e+002    8.54848e+001    2.65305e-001
    3.48500e+002    7.85290e+002    7.00016e+002    5.85172e+002    2.00118e+002    1.14844e+002    1.43269e+002    8.52733e+001    2.67315e-001
    3.50516e+002    7.85456e+002    6.99887e+002    5.85569e+002    1.99887e+002    1.14318e+002    1.42841e+002    8.55686e+001    2.69325e-001
    3.52578e+002    7.85495e+002    6.99961e+002    5.85809e+002    1.99686e+002    1.14152e+002    1.42663e+002    8.55345e+001    2.70330e-001
    3.54594e+002    7.85577e+002    6.99906e+002    5.86151e+002    1.99426e+002    1.13755e+002    1.42312e+002    8.56719e+001    2.72340e-001
    3.56672e+002    7.85565e+002    6.99961e+002    5.86437e+002    1.99128e+002    1.13524e+002    1.42058e+002    8.56043e+001    2.73345e-001
    3.58688e+002    7.85720e+002    6.99887e+002    5.86835e+002    1.98886e+002    1.13053e+002    1.41664e+002    8.58330e+001    2.75355e-001
    3.60703e+002    7.85684e+002    6.99887e+002    5.87158e+002    1.98527e+002    1.12729e+002    1.41328e+002    8.57972e+001    2.77365e-001
    3.62813e+002    7.85805e+002    6.99952e+002    5.87324e+002    1.98481e+002    1.12628e+002    1.41245e+002    8.58536e+001    2.79375e-001
    3.64875e+002    7.85766e+002    6.99896e+002    5.87694e+002    1.98073e+002    1.12203e+002    1.40826e+002    8.58702e+001    2.80379e-001
    3.66891e+002    7.85841e+002    6.99896e+002    5.87980e+002    1.97861e+002    1.11916e+002    1.40564e+002    8.59443e+001    2.82389e-001
    3.68906e+002    7.85933e+002    6.99832e+002    5.88312e+002    1.97621e+002    1.11519e+002    1.40220e+002    8.61017e+001    2.83394e-001
    3.70969e+002    7.85929e+002    6.99896e+002    5.88580e+002    1.97349e+002    1.11316e+002    1.39994e+002    8.60330e+001    2.85404e-001
    3.72984e+002    7.85991e+002    6.99887e+002    5.88913e+002    1.97078e+002    1.10974e+002    1.39675e+002    8.61036e+001    2.87414e-001
    3.75000e+002    7.86030e+002    6.99961e+002    5.89135e+002    1.96895e+002    1.10826e+002    1.39516e+002    8.60686e+001    2.89424e-001
    3.77109e+002    7.86099e+002    6.99896e+002    5.89523e+002    1.96576e+002    1.10374e+002    1.39108e+002    8.62026e+001    2.91434e-001
    3.79188e+002    7.86132e+002    6.99952e+002    5.89809e+002    1.96323e+002    1.10143e+002    1.38870e+002    8.61805e+001    2.92439e-001
    3.81203e+002    7.86104e+002    6.99952e+002    5.90086e+002    1.96018e+002    1.09866e+002    1.38583e+002    8.61523e+001    2.94449e-001
    3.83281e+002    7.86269e+002    6.99924e+002    5.90335e+002    1.95933e+002    1.09589e+002    1.38370e+002    8.63449e+001    2.96459e-001
    3.85297e+002    7.86214e+002    6.99915e+002    5.90631e+002    1.95583e+002    1.09284e+002    1.38050e+002    8.62990e+001    2.97464e-001
