            Time          sigma1          sigma3               u         sigma1'         sigma3'               p               q            eps1
             [s]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]           [kPa]             [%]

    0.00000e+000    6.99759e+002    6.99924e+002    5.00077e+002    1.99682e+002    1.99847e+002    1.99792e+002   -1.65219e-001    0.00000e+000
    2.01600e+000    6.99779e+002    6.99906e+002    5.00021e+002    1.99758e+002    1.99884e+002    1.99842e+002   -1.26425e-001    0.00000e+000
    4.07800e+000    6.99718e+002    7.00016e+002    5.00114e+002    1.99604e+002    1.99902e+002    1.99803e+002   -2.98189e-001    0.00000e+000
    6.09400e+000    6.99912e+002    6.99906e+002    5.00123e+002    1.99789e+002    1.99782e+002    1.99785e+002    6.88592e-003    0.00000e+000
    8.10900e+000    6.99670e+002    7.00053e+002    5.00049e+002    1.99621e+002    2.00004e+002    1.99876e+002   -3.83268e-001    0.00000e+000
    1.02190e+001    7.00021e+002    6.99896e+002    5.00151e+002    1.99871e+002    1.99746e+002    1.99787e+002    1.25057e-001    0.00000e+000
    1.22970e+001    7.00202e+002    7.00025e+002    5.00234e+002    1.99968e+002    1.99792e+002    1.99851e+002    1.76975e-001    0.00000e+000
    1.43130e+001    7.00261e+002    6.99952e+002    5.00188e+002    2.00073e+002    1.99764e+002    1.99867e+002    3.09249e-001    0.00000e+000
    1.63750e+001    7.00433e+002    6.99878e+002    5.00206e+002    2.00227e+002    1.99672e+002    1.99857e+002    5.55387e-001    0.00000e+000
    1.83910e+001    7.00468e+002    6.99906e+002    5.00215e+002    2.00252e+002    1.99690e+002    1.99877e+002    5.62231e-001    0.00000e+000
    2.04060e+001    7.00333e+002    6.99813e+002    5.00215e+002    2.00118e+002    1.99598e+002    1.99771e+002    5.20103e-001    0.00000e+000
    2.25160e+001    6.99991e+002    6.99979e+002    5.00040e+002    1.99951e+002    1.99939e+002    1.99943e+002    1.13758e-002    0.00000e+000
    2.45780e+001    6.99837e+002    6.99942e+002    5.00095e+002    1.99742e+002    1.99847e+002    1.99812e+002   -1.05238e-001    0.00000e+000
    2.65940e+001    6.99850e+002    6.99924e+002    5.00058e+002    1.99792e+002    1.99866e+002    1.99841e+002   -7.40424e-002    0.00000e+000
    2.86090e+001    6.99685e+002    6.99942e+002    5.00068e+002    1.99618e+002    1.99875e+002    1.99789e+002   -2.57199e-001    0.00000e+000
    3.07190e+001    6.99722e+002    7.00044e+002    5.00058e+002    1.99663e+002    1.99985e+002    1.99878e+002   -3.22082e-001    0.00000e+000
    3.27810e+001    7.00087e+002    6.99961e+002    5.00243e+002    1.99844e+002    1.99718e+002    1.99760e+002    1.26150e-001    0.00000e+000
    3.47970e+001    7.01632e+002    6.99850e+002    5.00733e+002    2.00899e+002    1.99117e+002    1.99711e+002    1.78160e+000    0.00000e+000
    3.69220e+001    7.04452e+002    7.00062e+002    5.01795e+002    2.02657e+002    1.98267e+002    1.99731e+002    4.38994e+000    1.00494e-003
    3.90000e+001    7.07044e+002    7.00016e+002    5.02617e+002    2.04427e+002    1.97399e+002    1.99742e+002    7.02755e+000    3.01483e-003
    4.10160e+001    7.09339e+002    6.99832e+002    5.03513e+002    2.05826e+002    1.96319e+002    1.99488e+002    9.50714e+000    4.01978e-003
    4.30940e+001    7.11574e+002    6.99906e+002    5.04298e+002    2.07275e+002    1.95607e+002    1.99497e+002    1.16684e+001    5.02472e-003
    4.51090e+001    7.13544e+002    7.00016e+002    5.05185e+002    2.08358e+002    1.94831e+002    1.99340e+002    1.35274e+001    7.03461e-003
    4.71880e+001    7.15544e+002    6.99906e+002    5.05980e+002    2.09565e+002    1.93926e+002    1.99139e+002    1.56388e+001    8.03955e-003
    4.92190e+001    7.17323e+002    6.99952e+002    5.06774e+002    2.10549e+002    1.93178e+002    1.98968e+002    1.73713e+001    9.04450e-003
    5.12970e+001    7.19104e+002    6.99933e+002    5.07578e+002    2.11526e+002    1.92356e+002    1.98746e+002    1.91706e+001    1.10544e-002
    5.33130e+001    7.20739e+002    7.00044e+002    5.08409e+002    2.12330e+002    1.91635e+002    1.98533e+002    2.06948e+001    1.30643e-002
